SEMANA,FINICIO,FFIN,FRACCION
1,24/03/2020,31/03/2020,0.3
2,01/04/2020,08/04/2020,0.6
3,09/04/2020,16/04/2020,0.6
4,17/04/2020,24/04/2020,0.6
5,25/04/2020,02/05/2020,0.6
6,03/05/2020,10/05/2020,0.6
7,11/05/2020,18/05/2020,0.3
8,19/05/2020,26/05/2020,0.3
9,27/05/2020,03/06/2020,0.3
10,04/06/2020,11/06/2020,0.3
11,12/06/2020,19/06/2020,0.3
12,20/06/2020,27/06/2020,0.3
13,28/06/2020,05/07/2020,0.3
14,06/07/2020,13/07/2020,0.3
15,14/07/2020,21/07/2020,0.3
16,22/07/2020,29/07/2020,0.3
17,30/07/2020,06/08/2020,0.3
18,07/08/2020,14/08/2020,0.3
19,15/08/2020,22/08/2020,0.3
20,23/08/2020,30/08/2020,0.3
21,31/08/2020,07/09/2020,0.3
22,08/09/2020,15/09/2020,0.3
23,16/09/2020,23/09/2020,0.3
24,24/09/2020,01/10/2020,0.3
25,02/10/2020,09/10/2020,0.3
26,10/10/2020,17/10/2020,0.3
27,18/10/2020,25/10/2020,0.3
28,26/10/2020,02/11/2020,0.3
29,03/11/2020,10/11/2020,0.3
30,11/11/2020,18/11/2020,0.3
31,19/11/2020,26/11/2020,0.3
32,27/11/2020,04/12/2020,0.3
33,05/12/2020,12/12/2020,0.3
34,13/12/2020,20/12/2020,0.3
35,21/12/2020,28/12/2020,0.3
36,29/12/2020,05/01/2021,0.3
37,06/01/2021,13/01/2021,0.3
38,14/01/2021,21/01/2021,0.3
39,22/01/2021,29/01/2021,0.3
40,30/01/2021,06/02/2021,0.3
41,07/02/2021,14/02/2021,0.3
42,15/02/2021,22/02/2021,0.3
43,23/02/2021,02/03/2021,0.3
44,03/03/2021,10/03/2021,0.3
45,11/03/2021,18/03/2021,0.3
46,19/03/2021,26/03/2021,0.3
