FECHA,COD_STA,COD_UBT,COD_SDS,POP,PDP
24/03/2020,I0,TAM,E1Y00,0,0
24/03/2020,I1,TAM,E1Y00,0,0
24/03/2020,I2,TAM,E1Y00,0,0
24/03/2020,I3,TAM,E1Y00,0,0
24/03/2020,RE,TAM,E1Y00,0,0
24/03/2020,ND,TAM,E1Y00,0,0
24/03/2020,ED,TAM,E1Y00,0,0
24/03/2020,EX,TAM,E1Y00,0,0
24/03/2020,SU,TAM,E1Y00,1,55642
24/03/2020,I0,TAM,E1Y30,0,0
24/03/2020,I1,TAM,E1Y30,0,0
24/03/2020,I2,TAM,E1Y30,0,0
24/03/2020,I3,TAM,E1Y30,0,0
24/03/2020,RE,TAM,E1Y30,0,0
24/03/2020,ND,TAM,E1Y30,0,0
24/03/2020,ED,TAM,E1Y30,0,0
24/03/2020,EX,TAM,E1Y30,0,0
24/03/2020,SU,TAM,E1Y30,1,52369
24/03/2020,I0,TAM,E1Y60,0,0
24/03/2020,I1,TAM,E1Y60,0,0
24/03/2020,I2,TAM,E1Y60,0,0
24/03/2020,I3,TAM,E1Y60,0,0
24/03/2020,RE,TAM,E1Y60,0,0
24/03/2020,ND,TAM,E1Y60,0,0
24/03/2020,ED,TAM,E1Y60,0,0
24/03/2020,EX,TAM,E1Y60,0,0
24/03/2020,SU,TAM,E1Y60,1,19639
24/03/2020,I0,TAM,E2Y00,0,0
24/03/2020,I1,TAM,E2Y00,0,0
24/03/2020,I2,TAM,E2Y00,0,0
24/03/2020,I3,TAM,E2Y00,0,0
24/03/2020,RE,TAM,E2Y00,0,0
24/03/2020,ND,TAM,E2Y00,0,0
24/03/2020,ED,TAM,E2Y00,0,0
24/03/2020,EX,TAM,E2Y00,0,0
24/03/2020,SU,TAM,E2Y00,1,88373
24/03/2020,I0,TAM,E2Y30,0,0
24/03/2020,I1,TAM,E2Y30,1.22209E-05,1
24/03/2020,I2,TAM,E2Y30,0,0
24/03/2020,I3,TAM,E2Y30,0,0
24/03/2020,RE,TAM,E2Y30,0,0
24/03/2020,ND,TAM,E2Y30,0,0
24/03/2020,ED,TAM,E2Y30,0,0
24/03/2020,EX,TAM,E2Y30,0,0
24/03/2020,SU,TAM,E2Y30,0.999987779,81826
24/03/2020,I0,TAM,E2Y60,0,0
24/03/2020,I1,TAM,E2Y60,0,0
24/03/2020,I2,TAM,E2Y60,0,0
24/03/2020,I3,TAM,E2Y60,0,0
24/03/2020,RE,TAM,E2Y60,0,0
