COD_UBTO,COD_UBT,COD_SDS,FPRR,FTRR
TAM,MAD,E1Y00,0.070000,0.416667
TAM,MAD,E1Y30,0.050000,0.500000
TAM,MAD,E1Y60,0.020000,0.416667
TAM,MAD,E2Y00,0.100000,0.416667
TAM,MAD,E2Y30,0.090000,0.500000
TAM,MAD,E2Y60,0.020000,0.333333
TAM,ALT,E1Y00,0.030000,0.416667
TAM,ALT,E1Y30,0.090000,0.500000
TAM,ALT,E1Y60,0.010000,0.416667
TAM,ALT,E2Y00,0.090000,0.416667
TAM,ALT,E2Y30,0.120000,0.500000
TAM,ALT,E2Y60,0.010000,0.333333
MAD,TAM,E1Y00,0.080000,0.416667
MAD,TAM,E1Y30,0.050000,0.500000
MAD,TAM,E1Y60,0.010000,0.416667
MAD,TAM,E2Y00,0.100000,0.416667
MAD,TAM,E2Y30,0.090000,0.500000
MAD,TAM,E2Y60,0.010000,0.333333
MAD,ALT,E1Y00,0.020000,0.416667
MAD,ALT,E1Y30,0.070000,0.500000
MAD,ALT,E1Y60,0.009000,0.416667
MAD,ALT,E2Y00,0.090000,0.416667
MAD,ALT,E2Y30,0.110000,0.500000
MAD,ALT,E2Y60,0.080000,0.333333
ALT,TAM,E1Y00,0.100000,0.416667
ALT,TAM,E1Y30,0.100000,0.500000
ALT,TAM,E1Y60,0.001000,0.416667
ALT,TAM,E2Y00,0.110000,0.416667
ALT,TAM,E2Y30,0.090000,0.500000
ALT,TAM,E2Y60,0.010000,0.333333
ALT,MAD,E1Y00,0.130000,0.416667
ALT,MAD,E1Y30,0.100000,0.500000
ALT,MAD,E1Y60,0.002000,0.416667
ALT,MAD,E2Y00,0.100000,0.416667
ALT,MAD,E2Y30,0.070000,0.500000
ALT,MAD,E2Y60,0.010000,0.333333
