COD_UBTO,COD_UBT,COD_SDS,FPRR,FTRR
TAM,MAD,E1Y00,0,0
TAM,MAD,E1Y30,0,0
TAM,MAD,E1Y60,0,0
TAM,MAD,E2Y00,0,0
TAM,MAD,E2Y30,0,0
TAM,MAD,E2Y60,0,0
TAM,ALT,E1Y00,0,0
TAM,ALT,E1Y30,0,0
TAM,ALT,E1Y60,0,0
TAM,ALT,E2Y00,0,0
TAM,ALT,E2Y30,0,0
TAM,ALT,E2Y60,0,0
MAD,TAM,E1Y00,0,0
MAD,TAM,E1Y30,0,0
MAD,TAM,E1Y60,0,0
MAD,TAM,E2Y00,0,0
MAD,TAM,E2Y30,0,0
MAD,TAM,E2Y60,0,0
MAD,ALT,E1Y00,0,0
MAD,ALT,E1Y30,0,0
MAD,ALT,E1Y60,0,0
MAD,ALT,E2Y00,0,0
MAD,ALT,E2Y30,0,0
MAD,ALT,E2Y60,0,0
ALT,TAM,E1Y00,0,0
ALT,TAM,E1Y30,0,0
ALT,TAM,E1Y60,0,0
ALT,TAM,E2Y00,0,0
ALT,TAM,E2Y30,0,0
ALT,TAM,E2Y60,0,0
ALT,MAD,E1Y00,0,0
ALT,MAD,E1Y30,0,0
ALT,MAD,E1Y60,0,0
ALT,MAD,E2Y00,0,0
ALT,MAD,E2Y30,0,0
ALT,MAD,E2Y60,0,0
