FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-15,ED,BOG,BOG,0.0,0.01
2020-03-15,EX,BOG,BOG,2.69796E-5,0.01
2020-03-15,I0,BOG,BOG,3.03521E-5,0.01
2020-03-15,I1,BOG,BOG,1.55133E-5,0.01
2020-03-15,I2,BOG,BOG,1.35E-7,0.01
2020-03-15,I3,BOG,BOG,0.0,0.01
2020-03-15,ND,BOG,BOG,0.0,0.01
2020-03-15,RE,BOG,BOG,0.0,0.01
2020-03-15,SU,BOG,BOG,0.99992702,0.01
2020-03-16,ED,BOG,BOG,0.0,0.01
2020-03-16,EX,BOG,BOG,1.610360394320889E-6,0.01
2020-03-16,I0,BOG,BOG,5.1239071146341465E-5,0.01
2020-03-16,I1,BOG,BOG,1.8523503853658535E-5,0.01
2020-03-16,I2,BOG,BOG,7.370499374999996E-7,0.01
2020-03-16,I3,BOG,BOG,6.428249999999998E-9,0.01
2020-03-16,ND,BOG,BOG,0.0,0.01
2020-03-16,RE,BOG,BOG,2.4739468125000003E-6,0.01
2020-03-16,SU,BOG,BOG,0.9999254096396056,0.01
2020-03-17,ED,BOG,BOG,6.4282499999999986E-12,0.01
2020-03-17,EX,BOG,BOG,2.383674893537992E-6,0.01
2020-03-17,I0,BOG,BOG,4.2564125308116254E-5,0.01
2020-03-17,I1,BOG,BOG,2.46783474123022E-5,0.01
2020-03-17,I2,BOG,BOG,1.3770848841611844E-6,0.01
2020-03-17,I3,BOG,BOG,4.088128619062497E-8,0.01
2020-03-17,ND,BOG,BOG,0.0,0.01
2020-03-17,RE,BOG,BOG,5.929600091050629E-6,0.01
2020-03-17,SU,BOG,BOG,0.999923025964712,0.01
2020-03-18,ED,BOG,BOG,4.730953619062497E-11,0.01
2020-03-18,EX,BOG,BOG,2.414623562825162E-6,0.01
2020-03-18,I0,BOG,BOG,3.640383065809823E-5,0.01
2020-03-18,I1,BOG,BOG,2.8490424558892423E-5,0.01
2020-03-18,I2,BOG,BOG,2.1756901221579214E-6,0.01
2020-03-18,I3,BOG,BOG,1.0236534947237085E-7,0.01
2020-03-18,ND,BOG,BOG,0.0,0.01
2020-03-18,RE,BOG,BOG,9.79935912242841E-6,0.01
2020-03-18,SU,BOG,BOG,0.9999206113411492,0.01
2020-03-19,ED,BOG,BOG,1.4967488566299581E-10,0.01
2020-03-19,EX,BOG,BOG,2.419100300946075E-6,0.01
2020-03-19,I0,BOG,BOG,3.151105114004172E-5,0.01
2020-03-19,I1,BOG,BOG,3.071705328178621E-5,0.01
2020-03-19,I2,BOG,BOG,3.0174460614146893E-6,0.01
2020-03-19,I3,BOG,BOG,1.9572792584188676E-7,0.01
2020-03-19,ND,BOG,BOG,0.0,0.01
2020-03-19,RE,BOG,BOG,1.3939896697316395E-5,0.01
2020-03-19,SU,BOG,BOG,0.9999181922408482,0.01
2020-03-20,ED,BOG,BOG,3.454028115048826E-10,0.01
2020-03-20,EX,BOG,BOG,2.3916411877860988E-6,0.01
2020-03-20,I0,BOG,BOG,2.7604884346291616E-5,0.01
2020-03-20,I1,BOG,BOG,3.179660138283107E-5,0.01
2020-03-20,I2,BOG,BOG,3.833027254186543E-6,0.01
2020-03-20,I3,BOG,BOG,3.198358565487275E-7,0.01
2020-03-20,ND,BOG,BOG,0.0,0.01
2020-03-20,RE,BOG,BOG,1.8236140171196928E-5,0.01
2020-03-20,SU,BOG,BOG,0.9999158005996605,0.01
2020-03-21,ED,BOG,BOG,6.6523866805361E-10,0.01
2020-03-21,EX,BOG,BOG,2.342160535861069E-6,0.01
2020-03-21,I0,BOG,BOG,2.445534996895625E-5,0.01
2020-03-21,I1,BOG,BOG,3.205810622396744E-5,0.01
2020-03-21,I2,BOG,BOG,4.580133907454756E-6,0.01
2020-03-21,I3,BOG,BOG,4.7036825198070396E-7,0.01
2020-03-21,ND,BOG,BOG,0.0,0.01
2020-03-21,RE,BOG,BOG,2.26021800536544E-5,0.01
2020-03-21,SU,BOG,BOG,0.9999134584391246,0.01
2020-03-22,ED,BOG,BOG,1.135606920034314E-9,0.01
2020-03-22,EX,BOG,BOG,2.2776528006140643E-6,0.01
2020-03-22,I0,BOG,BOG,2.1888546352512197E-5,0.01
2020-03-22,I1,BOG,BOG,3.174527500584843E-5,0.01
2020-03-22,I2,BOG,BOG,5.235418740591616E-6,0.01
