FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-15,ED,BOG,BOG,0.0,0.01
2020-03-15,EX,BOG,BOG,2.69796E-5,0.01
2020-03-15,I0,BOG,BOG,3.03521E-5,0.01
2020-03-15,I1,BOG,BOG,1.55133E-5,0.01
2020-03-15,I2,BOG,BOG,1.35E-7,0.01
2020-03-15,I3,BOG,BOG,0.0,0.01
2020-03-15,ND,BOG,BOG,0.0,0.01
2020-03-15,RE,BOG,BOG,0.0,0.01
2020-03-15,SU,BOG,BOG,0.99992702,0.01
2020-03-16,ED,BOG,BOG,0.0,0.01
2020-03-16,EX,BOG,BOG,1.2277269132640413E-5,0.01
2020-03-16,I0,BOG,BOG,5.1239071146341465E-5,0.01
2020-03-16,I1,BOG,BOG,1.8523503853658535E-5,0.01
2020-03-16,I2,BOG,BOG,7.370499374999996E-7,0.01
2020-03-16,I3,BOG,BOG,6.428249999999998E-9,0.01
2020-03-16,ND,BOG,BOG,0.0,0.01
2020-03-16,RE,BOG,BOG,2.4739468125000003E-6,0.01
2020-03-16,SU,BOG,BOG,0.9999147427308673,0.01
2020-03-17,ED,BOG,BOG,6.4282499999999986E-12,0.01
2020-03-17,EX,BOG,BOG,1.0808696367294187E-5,0.01
2020-03-17,I0,BOG,BOG,5.3231034046435775E-5,0.01
2020-03-17,I1,BOG,BOG,2.46783474123022E-5,0.01
2020-03-17,I2,BOG,BOG,1.3770848841611844E-6,0.01
2020-03-17,I3,BOG,BOG,4.088128619062497E-8,0.01
2020-03-17,ND,BOG,BOG,0.0,0.01
2020-03-17,RE,BOG,BOG,5.929600091050629E-6,0.01
2020-03-17,SU,BOG,BOG,0.9999039340345001,0.01
2020-03-18,ED,BOG,BOG,4.730953619062497E-11,0.01
2020-03-18,EX,BOG,BOG,1.1769011564429023E-5,0.01
2020-03-18,I0,BOG,BOG,5.335457406733566E-5,0.01
2020-03-18,I1,BOG,BOG,3.0311604099581117E-5,0.01
2020-03-18,I2,BOG,BOG,2.1756901221579214E-6,0.01
2020-03-18,I3,BOG,BOG,1.0236534947237085E-7,0.01
2020-03-18,ND,BOG,BOG,0.0,0.01
2020-03-18,RE,BOG,BOG,1.0119366384577995E-5,0.01
2020-03-18,SU,BOG,BOG,0.9998921650229357,0.01
2020-03-19,ED,BOG,BOG,1.4967488566299581E-10,0.01
2020-03-19,EX,BOG,BOG,1.2354368530137007E-5,0.01
2020-03-19,I0,BOG,BOG,5.441363088605315E-5,0.01
2020-03-19,I1,BOG,BOG,3.517729704933122E-5,0.01
2020-03-19,I2,BOG,BOG,3.090293243042237E-6,0.01
2020-03-19,I3,BOG,BOG,1.9572792584188676E-7,0.01
2020-03-19,ND,BOG,BOG,0.0,0.01
2020-03-19,RE,BOG,BOG,1.4950544215811971E-5,0.01
2020-03-19,SU,BOG,BOG,0.9998798106544056,0.01
2020-03-20,ED,BOG,BOG,3.454028115048826E-10,0.01
2020-03-20,EX,BOG,BOG,1.3032464301183526E-5,0.01
2020-03-20,I0,BOG,BOG,5.584545838711168E-5,0.01
2020-03-20,I1,BOG,BOG,3.954260756492172E-5,0.01
2020-03-20,I2,BOG,BOG,4.074311103821157E-6,0.01
2020-03-20,I3,BOG,BOG,3.2330459651389255E-7,0.01
2020-03-20,ND,BOG,BOG,0.0,0.01
2020-03-20,RE,BOG,BOG,2.0386393801556917E-5,0.01
2020-03-20,SU,BOG,BOG,0.9998667781901044,0.01
2020-03-21,ED,BOG,BOG,6.687074080187752E-10,0.01
2020-03-21,EX,BOG,BOG,1.3729521027275683E-5,0.01
2020-03-21,I0,BOG,BOG,5.766796848034571E-5,0.01
2020-03-21,I1,BOG,BOG,4.3541232962168825E-5,0.01
2020-03-21,I2,BOG,BOG,5.098225240008643E-6,0.01
2020-03-21,I3,BOG,BOG,4.84979250589454E-7,0.01
2020-03-21,ND,BOG,BOG,0.0,0.01
2020-03-21,RE,BOG,BOG,2.6395968592170568E-5,0.01
2020-03-21,SU,BOG,BOG,0.9998530486690771,0.01
2020-03-22,ED,BOG,BOG,1.1536866586082291E-9,0.01
2020-03-22,EX,BOG,BOG,7.281094865322649E-6,0.01
2020-03-22,I0,BOG,BOG,5.982169973705445E-5,0.01
2020-03-22,I1,BOG,BOG,4.729121106362177E-5,0.01
2020-03-22,I2,BOG,BOG,6.141906280533045E-6,0.01
