FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-15,ED,BOG,BOG,0.0,0.01
2020-03-15,EX,BOG,BOG,2.69796E-5,0.01
2020-03-15,I0,BOG,BOG,3.03521E-5,0.01
2020-03-15,I1,BOG,BOG,1.55133E-5,0.01
2020-03-15,I2,BOG,BOG,1.35E-7,0.01
2020-03-15,I3,BOG,BOG,0.0,0.01
2020-03-15,ND,BOG,BOG,0.0,0.01
2020-03-15,RE,BOG,BOG,0.0,0.01
2020-03-15,SU,BOG,BOG,0.99992702,0.01
2020-03-16,ED,BOG,BOG,0.0,0.01
2020-03-16,EX,BOG,BOG,1.2277269132640413E-5,0.01
2020-03-16,I0,BOG,BOG,5.1239071146341465E-5,0.01
2020-03-16,I1,BOG,BOG,1.8523503853658535E-5,0.01
2020-03-16,I2,BOG,BOG,7.370499374999996E-7,0.01
2020-03-16,I3,BOG,BOG,6.428249999999998E-9,0.01
2020-03-16,ND,BOG,BOG,0.0,0.01
2020-03-16,RE,BOG,BOG,2.4739468125000003E-6,0.01
2020-03-16,SU,BOG,BOG,0.9999147427308673,0.01
2020-03-17,ED,BOG,BOG,6.4282499999999986E-12,0.01
2020-03-17,EX,BOG,BOG,1.4419430753906521E-5,0.01
2020-03-17,I0,BOG,BOG,5.3231034046435775E-5,0.01
2020-03-17,I1,BOG,BOG,2.46783474123022E-5,0.01
2020-03-17,I2,BOG,BOG,1.3770848841611844E-6,0.01
2020-03-17,I3,BOG,BOG,4.088128619062497E-8,0.01
2020-03-17,ND,BOG,BOG,0.0,0.01
2020-03-17,RE,BOG,BOG,5.929600091050629E-6,0.01
2020-03-17,SU,BOG,BOG,0.9999003233001135,0.01
2020-03-18,ED,BOG,BOG,4.730953619062497E-11,0.01
2020-03-18,EX,BOG,BOG,1.5641094031035116E-5,0.01
2020-03-18,I0,BOG,BOG,5.6965308453948E-5,0.01
2020-03-18,I1,BOG,BOG,3.0311604099581117E-5,0.01
2020-03-18,I2,BOG,BOG,2.1756901221579214E-6,0.01
2020-03-18,I3,BOG,BOG,1.0236534947237085E-7,0.01
2020-03-18,ND,BOG,BOG,0.0,0.01
2020-03-18,RE,BOG,BOG,1.0119366384577995E-5,0.01
2020-03-18,SU,BOG,BOG,0.9998846822060824,0.01
2020-03-19,ED,BOG,BOG,1.4967488566299581E-10,0.01
2020-03-19,EX,BOG,BOG,1.7218860431896837E-5,0.01
2020-03-19,I0,BOG,BOG,6.117165886117843E-5,0.01
2020-03-19,I1,BOG,BOG,3.579376389582601E-5,0.01
2020-03-19,I2,BOG,BOG,3.090293243042237E-6,0.01
2020-03-19,I3,BOG,BOG,1.9572792584188676E-7,0.01
2020-03-19,ND,BOG,BOG,0.0,0.01
2020-03-19,RE,BOG,BOG,1.5058866247410341E-5,0.01
2020-03-19,SU,BOG,BOG,0.9998674633456505,0.01
2020-03-20,ED,BOG,BOG,3.454028115048826E-10,0.01
2020-03-20,EX,BOG,BOG,1.889384205564427E-5,0.01
2020-03-20,I0,BOG,BOG,6.611142777045335E-5,0.01
2020-03-20,I1,BOG,BOG,4.122657870719693E-5,0.01
2020-03-20,I2,BOG,BOG,4.0989697776809484E-6,0.01
2020-03-20,I3,BOG,BOG,3.2330459651389255E-7,0.01
2020-03-20,ND,BOG,BOG,0.0,0.01
2020-03-20,RE,BOG,BOG,2.0759103357058523E-5,0.01
2020-03-20,SU,BOG,BOG,0.9998485695035948,0.01
2020-03-21,ED,BOG,BOG,6.687074080187752E-10,0.01
2020-03-21,EX,BOG,BOG,2.0739962483719168E-5,0.01
2020-03-21,I0,BOG,BOG,7.173461005656516E-5,0.01
2020-03-21,I1,BOG,BOG,4.6742174624608224E-5,0.01
2020-03-21,I2,BOG,BOG,5.186866884363563E-6,0.01
2020-03-21,I3,BOG,BOG,4.861534144430777E-7,0.01
2020-03-21,ND,BOG,BOG,0.0,0.01
2020-03-21,RE,BOG,BOG,2.72472560547422E-5,0.01
2020-03-21,SU,BOG,BOG,0.999827829541111,0.01
2020-03-22,ED,BOG,BOG,1.1548608224618529E-9,0.01
2020-03-22,EX,BOG,BOG,1.4877703431323064E-5,0.01
2020-03-22,I0,BOG,BOG,7.807516178990552E-5,0.01
2020-03-22,I1,BOG,BOG,5.2445642625844936E-5,0.01
2020-03-22,I2,BOG,BOG,6.346450180933167E-6,0.01
