FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED,,,,,,,,,
15/03/2020,ED,BOG,BOG,0,0.01,,,,,,,,,
15/03/2020,EX,BOG,BOG,2.70E-05,0.01,,,,,,,,,
15/03/2020,I0,BOG,BOG,3.04E-05,0.01,,,,,,,,,
15/03/2020,I1,BOG,BOG,1.55E-05,0.01,,,,,,,,,
15/03/2020,I2,BOG,BOG,1.35E-07,0.01,,,,,,,,,
15/03/2020,I3,BOG,BOG,0,0.01,,,,,,,,,
15/03/2020,ND,BOG,BOG,0,0.01,,,,,,,,,
15/03/2020,RE,BOG,BOG,0,0.01,,,,,,,,,
15/03/2020,SU,BOG,BOG,0.99992702,0.01,,FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED,,
16/03/2020,ED,BOG,BOG,0,0.01,,16/03/2020,ED,BOG,UNI,0,0,,FALSO
16/03/2020,EX,BOG,BOG,1.23E-05,0.01,,16/03/2020,EX,BOG,UNI,1.22773E-05,0,,VERDADERO
16/03/2020,I0,BOG,BOG,5.12E-05,0.01,,16/03/2020,I0,BOG,UNI,5.71762E-05,0,,VERDADERO
16/03/2020,I1,BOG,BOG,1.85E-05,0.01,,16/03/2020,I1,BOG,UNI,4.24308E-05,0,,VERDADERO
16/03/2020,I2,BOG,BOG,7.37E-07,0.01,,16/03/2020,I2,BOG,UNI,2.71139E-05,0,,VERDADERO
16/03/2020,I3,BOG,BOG,6.43E-09,0.01,,16/03/2020,I3,BOG,UNI,2.69796E-05,0,,VERDADERO
16/03/2020,ND,BOG,BOG,0,0.01,,16/03/2020,ND,BOG,UNI,4.99963E-05,0,,VERDADERO
16/03/2020,RE,BOG,BOG,2.47E-06,0.01,,16/03/2020,RE,BOG,UNI,2.4739E-06,0,,FALSO
16/03/2020,SU,BOG,BOG,0.999914743,0.01,,16/03/2020,SU,BOG,UNI,0.999864746,0,,FALSO
17/03/2020,ED,BOG,BOG,6.43E-12,0.01,,17/03/2020,ED,BOG,UNI,0.000000027,0,,VERDADERO
17/03/2020,EX,BOG,BOG,1.96E-05,0.01,,17/03/2020,EX,BOG,UNI,2.62041E-05,0,,VERDADERO
17/03/2020,I0,BOG,BOG,5.32E-05,0.01,,17/03/2020,I0,BOG,UNI,6.91607E-05,0,,VERDADERO
17/03/2020,I1,BOG,BOG,2.47E-05,0.01,,17/03/2020,I1,BOG,UNI,5.45384E-05,0,,VERDADERO
17/03/2020,I2,BOG,BOG,1.38E-06,0.01,,17/03/2020,I2,BOG,UNI,0.000039276,0,,VERDADERO
17/03/2020,I3,BOG,BOG,4.09E-08,0.01,,17/03/2020,I3,BOG,UNI,3.91895E-05,0,,VERDADERO
17/03/2020,ND,BOG,BOG,0,0.01,,17/03/2020,ND,BOG,UNI,9.99897E-05,0,,VERDADERO
17/03/2020,RE,BOG,BOG,5.93E-06,0.01,,17/03/2020,RE,BOG,UNI,1.22021E-05,0,,VERDADERO
17/03/2020,SU,BOG,BOG,0.999895165,0.01,,17/03/2020,SU,BOG,UNI,0.999788549,0,,FALSO
18/03/2020,ED,BOG,BOG,4.73E-11,0.01,,18/03/2020,ED,BOG,UNI,6.62E-08,0,,VERDADERO
18/03/2020,EX,BOG,BOG,2.12E-05,0.01,,18/03/2020,EX,BOG,UNI,3.24418E-05,0,,VERDADERO
18/03/2020,I0,BOG,BOG,6.21E-05,0.01,,18/03/2020,I0,BOG,UNI,9.50106E-05,0,,VERDADERO
