T,SU,EX,I0,I1,I2,I3,RE,ED
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9999481529774369,1.8470225631281784E-6,0.0,0.0,0.0,0.0,0.0,0.0
2,0.999898155569788,0.0,1.8470225631281784E-6,0.0,0.0,0.0,0.0,0.0
3,0.9998475564008615,6.042611479729773E-7,1.4762665705783027E-6,3.153453156560305E-7,0.0,0.0,5.541067689384535E-8,0.0
4,0.9997970334278223,5.305952192429777E-7,1.7841942093839768E-6,5.232424835141404E-7,1.2613812626241213E-8,0.0,1.3123043504295278E-7,0.0
5,0.9997463806101838,6.629659670967116E-7,1.9566450787920735E-6,7.546070593755227E-7,3.181662846072179E-8,6.00627711219519E-10,2.3820020394899949E-7,0.0
6,0.9996956385926317,7.546985216742141E-7,2.2268503386093033E-6,9.830234259786694E-7,5.7645081830184615E-8,2.055566731968936E-9,3.7521921083936416E-7,6.00627711219519E-13
7,0.999644775709865,8.781008370152115E-7,2.5345493898748694E-6,1.2255941065920245E-6,8.907416697893813E-8,4.594876705252665E-9,5.455580662154793E-7,2.6561944431884548E-12
8,0.9995937774446444,1.0160264350480631E-6,2.9038858005810523E-6,1.4867388762819238E-6,1.2590330664084005E-7,8.376803952374502E-9,7.523096341870115E-7,7.25107114844112E-12
9,0.9995426207196105,1.1770361615960254E-6,3.3370102810246744E-6,1.7743808141894637E-6,1.6813617441587498E-7,1.3534219341685052E-8,9.99722912040239E-7,1.5627875100815623E-11
10,0.9994912805591654,1.363029409184032E-6,3.8442026715759905E-6,2.095700962816908E-6,2.160928641385268E-7,2.0186881579285792E-8,1.2929104853845652E-6,2.9162094442500675E-11
11,0.9994397275376005,1.5784575368559314E-6,4.43557871522172E-6,2.4586301134135633E-6,2.703368891637048E-7,2.845781530208673E-8,1.6380457519749994E-6,4.934897602178647E-11
12,0.9993879277157487,1.82783547490532E-6,5.123674963631925E-6,2.871715824524739E-6,3.3167184717003126E-7,3.8484575310889795E-8,2.0424548182417175E-6,7.78067913238732E-11
13,0.9993358417523734,2.1165669894952904E-6,5.923026415349666E-6,3.3444493833698965E-6,4.011332223074136E-7,5.0429225569213794E-8,2.5147729056819758E-6,1.1629136663476299E-10
14,0.9992834241045467,2.450855739158452E-6,6.850654200007694E-6,3.887474882074883E-6,4.799943881198982E-7,6.448692994783042E-8,3.065120541699405E-6,1.667205922039768E-10
15,0.9992306220369988,2.83789634282767E-6,7.926366425359724E-6,4.512852286390592E-6,5.697801516926623E-7,8.089396973402319E-8,3.705316245306686E-6,2.312075221518072E-10
16,0.9991773744933151,3.286012581810992E-6,9.173189702804211E-6,5.234335038918301E-6,6.72288966297595E-7,9.993560431705314E-8,4.449126144675231E-6,3.121014918858304E-10
17,0.9991236107839669,3.8048406234525503E-6,1.061785225402792E-5,6.0676824729728964E-6,7.896232071641599E-7,1.219542034972183E-7,5.312556664638103E-6,4.1203709620288356E-10
18,0.9990692490689846,4.4055344431968E-6,1.2291353266489012E-5,7.031010970127312E-6,9.242277989256056E-7,1.4735800819529654E-7,6.314196044007529E-6,5.339912997001019E-10
19,0.9990141946011658,5.101005365415366E-6,1.422962338326619E-5,8.145193162734442E-6,1.0789376011086204E-6,1.7663085440127446E-7,7.475611919219065E-6,6.813493078953984E-10
20,0.9989583376927236,5.90619871225523E-6,1.647429215247959E-5,9.434314014655605E-6,1.2570342744528897E-6,2.1034318106726915E-7,8.821813340173585E-6,8.579801622966729E-10
21,0.9989015513617844,6.838414054541548E-6,1.907357807412733E-5,1.0926194078636922E-5,1.462313605223703E-6,2.4916464499574065E-7,1.0381787022380098E-5,1.068323343363942E-9
